Data_Index,EE_before_TrueValue,EE_before_AbsError,EE_after_TrueValue,EE_after_AbsError,Aero_Efficiency_TrueValue,Aero_Efficiency_AbsError,Recovery_TrueValue,Recovery_AbsError,Norm_before_TrueValue,Norm_before_AbsError,Norm_after_TrueValue,Norm_after_AbsError
1,92.84,13.21,99.45,15.22,42.46,9.18,39.64,18.63,0.8,0.3,1.98,0.96
2,91.43,2.38,99.38,10.06,44.01,11.19,40.49,21.16,0.51,0.01,1.39,0.27
3,94.0,14.89,91.54,7.81,12.16,38.83,12.49,45.54,0.64,0.07,1.22,0.2
4,90.44,2.31,98.13,8.81,27.75,25.71,25.57,36.01,0.52,0.31,1.06,1.4
5,85.76,5.38,94.49,10.3,87.7,26.45,79.6,11.28,0.28,0.61,0.84,1.04
6,79.43,3.71,94.58,13.27,94.24,41.33,79.15,20.85,0.22,1.05,1.03,0.95
7,87.05,11.38,93.22,13.61,60.32,7.6,56.33,3.2,0.58,0.02,1.53,0.27
8,72.66,7.25,92.49,9.27,82.29,15.07,82.08,7.04,0.38,0.34,1.26,0.01
9,76.44,3.85,91.03,7.49,89.24,25.06,74.94,3.51,0.37,0.37,1.33,0.63
10,24.22,56.15,33.52,46.11,82.68,29.91,59.74,1.33,0.0,0.5,0.02,0.44
11,79.5,2.03,92.71,8.19,100.0,27.68,90.03,12.22,0.24,0.38,1.05,0.61
12,41.6,40.36,45.75,41.18,59.67,1.63,54.25,7.71,0.0,0.49,0.01,0.44
13,80.04,1.01,90.09,5.51,99.84,36.88,88.71,20.32,0.31,0.32,1.24,0.24
14,74.2,5.89,82.29,3.45,50.29,1.03,45.35,12.28,0.42,0.21,1.25,0.46
15,6.09,75.6,47.97,38.76,100.0,45.34,55.24,5.78,0.03,0.61,0.07,0.64
16,87.25,5.41,93.66,9.25,95.88,22.33,89.32,11.73,0.25,0.29,1.1,0.03
17,67.41,8.73,84.76,2.88,95.92,41.36,76.29,17.86,0.09,0.62,0.32,0.77
18,27.42,51.29,42.16,41.32,88.71,30.3,57.7,5.44,0.04,0.4,0.02,0.62
19,87.17,6.05,96.06,12.42,100.0,34.0,90.86,19.37,0.37,0.21,1.26,0.31
20,38.96,39.8,31.28,51.51,47.34,13.15,58.97,5.87,0.23,0.25,0.22,0.37
21,80.46,0.07,90.25,6.74,93.81,25.66,83.62,8.6,0.58,0.03,1.5,0.6
22,35.46,38.23,43.1,36.93,85.42,36.39,70.28,17.51,0.05,0.43,0.09,0.41
23,27.51,51.17,41.87,40.54,98.45,33.9,64.68,5.72,0.03,0.33,0.1,0.76
24,58.8,15.64,67.6,11.72,66.83,12.74,58.13,3.02,0.41,0.08,0.33,1.02
25,79.76,5.78,84.65,2.74,88.12,13.71,83.03,4.43,0.1,0.77,0.48,1.94
