Data_Index,EE_before_TrueValue,EE_before_AbsError,EE_after_TrueValue,EE_after_AbsError,Aero_Efficiency_TrueValue,Aero_Efficiency_AbsError,Recovery_TrueValue,Recovery_AbsError,Norm_before_TrueValue,Norm_before_RelError,Norm_after_TrueValue,Norm_after_RelError
1,92.84,13.21,99.45,15.22,42.46,9.18,39.64,18.63,0.8,0.375,1.98,0.484848
2,91.43,2.38,99.38,10.06,44.01,11.19,40.49,21.16,0.51,0.019608,1.39,0.194245
3,94.0,14.89,91.54,7.81,12.16,38.83,12.49,45.54,0.64,0.109375,1.22,0.163934
4,90.44,2.31,98.13,8.81,27.75,25.71,25.57,36.01,0.52,0.596154,1.06,1.320755
5,85.76,5.38,94.49,10.3,87.7,26.45,79.6,11.28,0.28,2.178571,0.84,1.238095
6,79.43,3.71,94.58,13.27,94.24,41.33,79.15,20.85,0.22,4.772727,1.03,0.92233
7,87.05,11.38,93.22,13.61,60.32,7.6,56.33,3.2,0.58,0.034483,1.53,0.176471
8,72.66,7.25,92.49,9.27,82.29,15.07,82.08,7.04,0.38,0.894737,1.26,0.007937
9,76.44,3.85,91.03,7.49,89.24,25.06,74.94,3.51,0.37,1.0,1.33,0.473684
10,24.22,56.15,33.52,46.11,82.68,29.91,59.74,1.33,0.0,50000000.0,0.02,21.999989
11,79.5,2.03,92.71,8.19,100.0,27.68,90.03,12.22,0.24,1.583333,1.05,0.580952
12,41.6,40.36,45.75,41.18,59.67,1.63,54.25,7.71,0.0,49000000.0,0.01,43.999956
13,80.04,1.01,90.09,5.51,99.84,36.88,88.71,20.32,0.31,1.032258,1.24,0.193548
14,74.2,5.89,82.29,3.45,50.29,1.03,45.35,12.28,0.42,0.5,1.25,0.368
15,6.09,75.6,47.97,38.76,100.0,45.34,55.24,5.78,0.03,20.333327,0.07,9.142856
16,87.25,5.41,93.66,9.25,95.88,22.33,89.32,11.73,0.25,1.16,1.1,0.027273
17,67.41,8.73,84.76,2.88,95.92,41.36,76.29,17.86,0.09,6.888888,0.32,2.40625
18,27.42,51.29,42.16,41.32,88.71,30.3,57.7,5.44,0.04,9.999998,0.02,30.999985
19,87.17,6.05,96.06,12.42,100.0,34.0,90.86,19.37,0.37,0.567568,1.26,0.246032
20,38.96,39.8,31.28,51.51,47.34,13.15,58.97,5.87,0.23,1.086956,0.22,1.681818
21,80.46,0.07,90.25,6.74,93.81,25.66,83.62,8.6,0.58,0.051724,1.5,0.4
22,35.46,38.23,43.1,36.93,85.42,36.39,70.28,17.51,0.05,8.599998,0.09,4.555555
23,27.51,51.17,41.87,40.54,98.45,33.9,64.68,5.72,0.03,10.999996,0.1,7.599999
24,58.8,15.64,67.6,11.72,66.83,12.74,58.13,3.02,0.41,0.195122,0.33,3.090909
25,79.76,5.78,84.65,2.74,88.12,13.71,83.03,4.43,0.1,7.699999,0.48,4.041667
26,81.29,5.07,90.97,10.86,47.02,6.39,42.02,17.8,0.45,0.111111,1.01,0.128713
27,46.52,32.28,51.32,32.06,53.54,6.22,48.53,14.06,0.15,2.133333,0.24,0.958333
28,35.85,42.53,60.74,22.36,96.72,40.21,57.07,5.08,0.29,1.137931,0.25,2.56
29,96.1,10.09,95.38,8.04,86.82,10.06,87.47,9.19,0.16,2.6875,0.9,0.477778
30,43.61,34.79,56.45,25.91,91.08,32.76,70.36,6.69,0.05,11.399998,0.14,4.785714
31,56.73,16.69,68.53,11.07,80.1,32.87,66.31,14.54,0.14,3.785714,0.27,1.703704
32,18.23,60.28,45.13,37.06,100.0,36.64,68.59,0.89,0.06,6.499999,0.19,4.0
33,89.01,4.7,91.84,1.16,83.74,23.04,81.16,11.08,0.52,0.519231,1.99,0.869347
34,86.26,4.94,86.9,1.85,44.87,8.5,44.54,15.51,0.59,0.338983,1.5,0.64
35,35.25,45.05,24.64,57.65,32.47,22.53,46.45,16.66,0.01,40.999959,0.02,79.49996
36,93.57,5.83,93.83,14.41,53.62,9.65,53.48,10.46,0.65,0.230769,1.16,0.508621
37,86.12,3.04,92.21,5.23,56.97,11.31,53.21,14.69,0.56,0.089286,1.09,0.495413
38,83.21,1.92,93.15,5.64,95.13,29.87,84.98,12.45,0.47,0.297872,1.8,0.877778
39,78.55,1.55,92.65,8.16,87.67,30.87,74.33,12.39,0.29,0.172414,1.31,0.816794
40,88.81,10.36,94.66,13.41,49.59,4.58,46.53,14.82,0.52,0.307692,1.26,0.674603
41,91.62,6.3,97.87,10.97,99.06,30.41,92.73,16.43,0.6,0.466667,1.29,0.844961
42,89.84,5.58,86.63,4.08,57.51,9.7,59.63,9.09,0.36,0.416667,0.5,0.36
43,86.0,1.81,92.78,4.86,95.28,18.47,88.31,6.85,0.37,0.27027,1.12,0.392857
44,68.37,17.98,86.57,1.13,100.0,33.1,96.28,24.08,0.37,0.324324,1.71,0.842105
45,86.12,3.58,95.26,10.36,99.96,30.46,90.37,12.3,0.47,0.255319,1.6,0.70625
46,77.2,7.34,86.92,4.73,66.38,1.31,58.96,9.97,0.14,2.142857,0.26,1.192308
47,70.34,10.52,87.21,2.54,100.0,41.96,93.29,31.29,0.27,0.148148,0.87,0.678161
48,66.1,20.6,92.66,5.54,100.0,29.37,86.25,10.59,0.58,0.62069,1.98,0.868687
49,71.64,12.61,82.09,0.64,94.67,32.44,82.62,15.97,0.15,1.733333,0.18,2.277778
50,82.93,3.74,84.56,3.19,71.04,16.04,69.67,8.9,0.89,0.539326,1.94,0.78866
51,92.3,0.29,94.99,2.66,62.43,2.24,60.67,5.5,0.47,0.319149,1.52,0.828947
52,77.64,6.29,86.51,0.34,100.0,24.17,95.53,13.94,0.59,0.372881,2.24,0.785714
53,75.91,8.04,57.28,27.84,53.44,18.08,70.82,6.83,0.38,0.184211,1.46,0.684932
54,88.98,7.32,78.29,6.81,29.61,24.13,33.65,26.33,0.99,0.575758,2.1,0.742857
55,74.0,11.12,88.74,1.67,100.0,21.43,100.0,18.95,0.36,0.111111,0.87,0.45977
56,82.6,3.91,90.44,10.86,62.84,10.42,57.39,1.98,0.37,0.189189,0.38,0.157895
57,78.22,4.43,83.37,1.68,83.13,15.0,78.0,4.08,0.11,2.0,0.14,5.142857
58,77.33,8.83,87.69,0.15,94.51,26.73,83.34,10.35,0.43,0.465116,2.22,0.887387
59,84.94,1.65,90.22,10.18,73.66,1.47,69.35,8.31,0.12,2.666666,0.52,0.307692
60,74.3,3.27,77.1,1.11,70.11,14.42,67.55,4.01,0.06,4.833333,0.06,21.999996
61,90.67,9.23,63.76,21.32,18.41,35.3,26.19,33.97,1.14,0.614035,0.38,0.657895
62,60.23,20.43,92.12,7.53,100.0,41.13,90.46,27.75,0.27,0.222222,1.01,0.772277
63,74.08,12.4,88.78,1.82,100.0,28.46,88.43,11.87,0.32,0.34375,1.15,0.791304
64,83.25,6.72,88.67,1.86,94.64,13.86,88.84,3.6,0.06,4.666666,0.5,0.28
65,0.0,80.96,0.0,85.51,0.0,61.5,39.91,23.73,0.0,38000000.0,0.0,67000000.0
66,0.0,88.59,0.0,82.35,0.0,80.33,41.61,39.55,0.01,37.999962,0.01,64.999935
67,9.41,80.53,0.0,90.68,0.0,84.77,41.47,43.03,0.27,0.592593,0.04,14.749996
68,0.0,86.21,0.0,87.57,0.0,74.63,43.34,33.37,0.04,7.999998,0.03,22.333326
69,86.74,6.38,98.59,5.32,72.33,11.21,63.64,3.61,0.39,0.179487,1.33,0.849624
70,31.14,47.61,13.06,68.49,63.95,7.28,100.0,38.18,0.15,1.866667,0.44,0.590909
71,90.2,7.34,95.08,12.25,52.48,5.34,49.79,10.45,0.39,0.179487,0.91,0.10989
72,0.0,83.79,0.0,85.3,0.0,73.75,41.11,36.16,0.01,37.999962,0.04,18.249995
73,36.76,48.44,31.7,55.75,24.94,56.55,28.92,53.19,1.7,0.782353,0.31,1.741935
74,85.16,2.72,93.64,11.85,61.8,1.12,56.2,8.8,0.46,0.304348,1.33,0.466165
75,88.65,11.36,85.85,5.98,41.92,7.57,43.29,8.17,0.32,0.125,1.58,0.455696
76,0.0,91.18,0.0,90.83,0.0,88.07,49.77,38.94,0.21,0.714286,0.1,7.199999
77,0.0,89.63,0.0,82.48,0.0,83.24,52.55,32.04,0.12,1.833333,0.08,8.749999
78,73.71,12.97,93.22,5.33,100.0,30.06,82.58,9.28,0.48,0.375,2.52,0.904762
79,82.96,5.26,91.19,12.66,65.1,15.08,59.22,6.67,0.55,0.236364,1.62,0.567901
80,64.59,16.7,85.75,0.44,100.0,39.17,88.14,24.87,0.29,0.0,1.49,0.812081
81,78.18,8.69,85.32,2.0,98.12,24.33,89.91,12.68,0.36,0.25,1.92,0.901042
82,70.8,13.28,87.86,2.69,100.0,26.66,81.82,4.3,0.36,0.111111,1.71,0.760234
83,83.28,4.06,89.76,8.35,71.39,14.92,66.24,4.4,0.62,0.370968,2.14,0.841121
84,91.39,8.18,93.68,4.77,36.72,7.33,35.82,11.28,0.21,1.619048,0.41,1.292683
85,66.86,18.55,89.04,1.71,100.0,19.16,83.75,1.11,0.28,0.035714,1.3,0.676923
86,57.16,34.36,88.19,2.54,100.0,13.3,97.35,9.71,0.1,1.3,0.6,0.533333
87,57.02,32.99,88.71,6.35,100.0,18.21,93.24,9.7,0.08,1.875,0.45,0.377778
88,92.89,15.72,94.05,10.89,42.0,12.16,41.49,14.99,0.46,0.804348,0.79,0.164557
89,90.4,12.99,90.41,6.77,50.0,2.43,49.99,4.72,0.38,1.473684,1.65,0.593939
90,90.98,16.68,91.03,12.35,46.17,1.26,46.15,4.04,0.45,0.155556,1.42,0.556338
91,90.19,12.61,95.54,11.69,52.66,1.95,49.71,6.96,0.47,0.553191,1.02,0.421569
92,84.83,11.93,92.92,12.54,58.59,14.05,53.49,6.72,0.33,2.181818,1.21,0.438017
93,84.61,7.12,84.4,1.85,53.98,3.81,54.11,5.37,0.55,0.0,1.68,0.702381
94,94.83,14.44,88.66,2.62,44.33,8.98,47.42,9.65,0.37,1.621622,0.94,0.180851
95,93.5,14.64,82.35,4.05,41.61,6.99,47.25,6.61,0.3,2.066667,1.32,0.325758
